unit table cands ['0x23d84'] colony cands ['0x26986']
n=186 t=260 u1 x=35 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=186 VC=6 IS=234 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=192 t=268 u1 x=35 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=186 VC=6 IS=234 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=198 t=277 u1 x=35 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=186 VC=6 IS=234 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=204 t=285 u1 x=33 y=28 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=217 VC=12 IS=195 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=210 t=293 u1 x=33 y=28 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=217 VC=12 IS=195 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=216 t=302 u1 x=33 y=28 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=217 VC=12 IS=195 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=222 t=310 u1 x=33 y=28 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=217 VC=12 IS=195 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=228 t=319 u1 x=33 y=28 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=217 VC=12 IS=195 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=234 t=327 u1 x=33 y=28 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=248 VC=18 IS=156 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=240 t=335 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=248 VC=18 IS=156 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=246 t=344 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=248 VC=18 IS=156 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=252 t=352 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=248 VC=18 IS=156 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=258 t=361 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=248 VC=18 IS=156 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=264 t=369 u1 x=36 y=29 ord=2 holds=1 cargo=130000 amt=[40, 100, 255, 0, 0, 0] | SD=248 VC=24 IS=156 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=270 t=377 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=279 VC=0 IS=117 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=276 t=386 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=279 VC=0 IS=117 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=282 t=394 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=279 VC=0 IS=117 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=288 t=403 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=279 VC=0 IS=117 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 4, 19, 19, 9, 1, 8, 17]
n=294 t=411 u1 x=39 y=28 ord=2 holds=2 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=300 VC=6 IS=117 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
n=300 t=419 u1 x=35 y=29 ord=2 holds=1 cargo=130000 amt=[40, 24, 255, 0, 0, 0] | SD=300 VC=6 IS=102 | Santo Domingo Veracruz Isabella | w84BC[spain]=[1, 3, 4, 4, 1, 1, 1, 5, 1, 3, 19, 19, 9, 1, 8, 17]
